"","Lake_Name","Trophic_Category","Taxonomic_ID_Code","d15N","d13C","d13C_Cor","SI_ID","Trophic_Group"
"188","Abbess","PFF","93",8.37243062739377,"-29.7434787225755",-29.8101464743491,"ABE043","Cisco"
"189","Abbess","PFF","93",7.56727284614186,"-29.3139931888892",-29.3344274855484,"ABE044","Cisco"
"190","Abbess","PFF","93",8.90819794344641,"-29.2221150339778",-29.2609492787523,"ABE048","Cisco"
"191","Abbess","PFF","93",8.94330512634907,"-29.1504128300471",-29.2219042836527,"ABE041","Cisco"
"192","Abbess","PFF","93",7.97009627669176,"-29.147975066787",-29.1321054726763,"ABE052","Cisco"
"193","Abbess","PFF","93",7.47127132791036,"-28.9840427625918",-29.0064482442897,"ABE049","Cisco"
"194","Abbess","PFF","93",7.57017032897774,"-28.5645610698558",-28.6594022456832,"ABE037","Cisco"
"195","Abbess","PFF","93",7.63048705268335,"-28.502921838706",-28.6014228995824,"ABE050","Cisco"
"196","Abbess","PFF","93",7.27290964426991,"-28.464960589595",-28.5512571644302,"ABE045","Cisco"
"197","Abbess","PFF","93",7.25881491617493,"-28.5361183284194",-28.5454349191644,"ABE047","Cisco"
"198","Abbess","PFF","93",7.23056385804333,"-28.4507283055466",-28.4958587767566,"ABE053","Cisco"
"199","Abbess","PFF","93",7.428969430031,"-28.4321369624832",-28.4859115468338,"ABE046","Cisco"
"200","Abbess","PFF","93",7.68190050915537,"-28.4162279557458",-28.4673411970044,"ABE036","Cisco"
"201","Abbess","PFF","93",8.16112251199042,"-28.3257616656689",-28.4666230136446,"ABE038","Cisco"
"202","Abbess","PFF","93",7.24642568679875,"-28.3161730795973",-28.3630128976121,"ABE051","Cisco"
"203","Abbess","PFF","93",6.8646082774689,"-28.207847816024",-28.3191861296196,"ABE039","Cisco"
"204","Abbess","PFF","93",7.52460302372947,"-28.1081731375448",-28.1858008635198,"ABE042","Cisco"
"205","Abbess","PFF","93",7.60565171260905,"-27.9958107806441",-28.1461926396978,"ABE040","Cisco"
"206","Abbess","PRED","81",9.11138393614438,"-29.8182895804617",-30.0061583566787,"ABE003","LakeTrout"
"207","Abbess","PRED","81",10.006484842832,"-30.0075616932359",-29.6854413659492,"ABE004","LakeTrout"
"208","Abbess","PRED","81",10.818204231614,"-29.7441637285919",-29.4656564453369,"ABE007","LakeTrout"
"209","Abbess","PRED","81",9.80156094260663,"-29.0345514964753",-29.250397811838,"ABE005","LakeTrout"
"210","Abbess","PRED","81",9.8401907202208,"-28.9953459046076",-29.195384780582,"ABE012","LakeTrout"
"211","Abbess","PRED","81",9.5352621638472,"-28.8159224994604",-29.0071790528191,"ABE001","LakeTrout"
"212","Abbess","PRED","81",10.9713246135357,"-28.5848957069987",-28.8014540787024,"ABE010","LakeTrout"
"213","Abbess","PRED","81",11.9868900308151,"-28.7056764361116",-28.7821959421889,"ABE008","LakeTrout"
"214","Abbess","PRED","81",11.5929278122836,"-28.5039686449493",-28.7384992891169,"ABE014","LakeTrout"
"215","Abbess","PRED","81",10.627489036507,"-28.5014559621802",-28.6538966643558,"ABE015","LakeTrout"
"216","Abbess","PRED","81",10.6801357246176,"-28.1883531130651",-28.3558752651262,"ABE009","LakeTrout"
"217","Abbess","PRED","81",10.8712321156375,"-28.2487291616059",-28.3402269528859,"ABE002","LakeTrout"
"218","Abbess","PRED","81",10.1352108394404,"-27.9099636160309",-28.1666776399189,"ABE011","LakeTrout"
"219","Abbess","PRED","81",11.9692904930289,"-28.001641490095",-28.1476632820934,"ABE013","LakeTrout"
"220","Abbess","PRED","81",11.4492718187469,"-27.8852282258821",-28.0632297119486,"ABE006","LakeTrout"
"221","Abbess","PRED","81",10.8295222814177,"-28.0945239554545",-28.3532179273307,"ABE017","LakeTrout"
"222","Abbess","PRED","81",10.5492009949207,"-27.8498266825078",-28.0611971558555,"ABE018","LakeTrout"
"223","Abbess","PRED","81",10.7444022887731,"-27.4725222337038",-27.6375860384322,"ABE016","LakeTrout"
"224","Argo","LITTORAL",NA,1.73221302593461,"-21.7041164882768",-20.399619189065,"ARG107","Invert"
"225","Argo","LITTORAL",NA,1.95503262821593,"-21.2838193163449",-18.6451052161242,"ARG106","Invert"
"226","Argo","LITTORAL","crayfish",5.006256010807,"-18.6564475817534",-17.5483086469447,"ARG039","Invert"
"227","Argo","LITTORAL","dragonfly",1.1249794251229,"-23.0778776423554",-21.7852463882448,"ARG036","Invert"
"228","Argo","LITTORAL","dragonfly",2.07045719696526,"-22.5816782234821",-20.9564771129361,"ARG035","Invert"
"229","Argo","LITTORAL","dragonfly",1.64790290615249,"-21.2486831071003",-20.5705557647268,"ARG021","Invert"
"230","Argo","LITTORAL","dragonfly",1.91388126022704,"-19.4441975414369",-18.1925078705843,"ARG037","Invert"
"231","Argo","LITTORAL","leech",3.63119810483668,"-24.8609810286992",-24.6594279114695,"ARG024","Invert"
"232","Argo","LITTORAL","stonefly",2.0982645703623,"-26.5950884313996",-6.33252335685085,"ARG038","Invert"
"233","Argo","LITTORAL","stonefly",2.51509270962574,"-18.0956484961628",-17.6862922908556,"ARG028","Invert"
"234","Argo","LITTORAL","stonefly",2.89047348103661,"-17.2826870006746",-16.4420245216893,"ARG027","Invert"
"235","Argo","LITTORAL","snail",1.96727881113087,"-21.0459387806615",-14.9835414491576,"ARG051","Snail"
"236","Argo","LITTORAL","snail",0.76331857150394,"-20.8817845272283",-14.6385976030849,"ARG110","Snail"
"237","Argo","LITTORAL","snail",1.41303900104515,"-17.5126651719485",-14.3221480258973,"ARG054","Snail"
"238","Argo","LITTORAL","snail",1.32312788439641,"-21.7080677197657",-14.1529194344778,"ARG111","Snail"
"239","Argo","LITTORAL","snail",1.10237799748421,"-21.8396169110075",-13.210117496917,"ARG112","Snail"
"240","Argo","LITTORAL","snail",1.1449459852971,"-21.3673720130844",-13.1954969572028,"ARG053","Snail"
"241","Argo","LITTORAL","snail",1.28639958131729,"-22.7359878171576",-11.3894327906754,"ARG052","Snail"
"242","Argo","LITTORAL","snail",1.3503627679075,"-23.3187467775342",-11.0229892952736,"ARG108","Snail"
"243","Argo","LITTORAL","snail",1.45057287300772,"-25.039942002448",-2.37797769431524,"ARG109","Snail"
"244","Argo","LITTORAL","snail",1.3606408117569,"-23.9047445296141",-9.20719521680559,"ARG050","Snail"
"245","Argo","PELAGIC","zooplankton",4.01059364385623,"-31.1268280935373",-28.0890232005271,"ARG105","Zoops"
